permutation|permutationMap|result|denot total iterations
54|{232: 232, 237: 0, 236: 3, 10: 233, 233: 11, 2: 237, 0: 2, 11: 236, 242: 10, 3: 242}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|10
55|{232: 232, 237: 242, 236: 233, 10: 2, 233: 237, 2: 10, 0: 3, 11: 11, 242: 236, 3: 0}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|249
56|{232: 236, 237: 0, 236: 232, 10: 3, 233: 10, 2: 233, 0: 11, 11: 2, 242: 237, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|995
57|{232: 242, 237: 11, 236: 232, 10: 236, 233: 233, 2: 10, 0: 2, 11: 237, 242: 3, 3: 0}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|247
58|{232: 0, 237: 2, 236: 233, 10: 242, 233: 11, 2: 237, 0: 10, 11: 232, 242: 3, 3: 236}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|7
59|{232: 237, 237: 2, 236: 232, 10: 242, 233: 3, 2: 11, 0: 233, 11: 236, 242: 10, 3: 0}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|971
60|{232: 242, 237: 233, 236: 3, 10: 10, 233: 2, 2: 11, 0: 236, 11: 232, 242: 0, 3: 237}|( { t = 0 & -a + b > -67 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -181 } )|752
61|{232: 232, 237: 3, 236: 236, 10: 10, 233: 237, 2: 11, 0: 242, 11: 233, 242: 0, 3: 2}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|36
62|{232: 237, 237: 11, 236: 242, 10: 10, 233: 232, 2: 236, 0: 3, 11: 0, 242: 2, 3: 233}|( )|14
63|{232: 11, 237: 0, 236: 236, 10: 242, 233: 3, 2: 237, 0: 233, 11: 2, 242: 10, 3: 232}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|39
64|{232: 233, 237: 242, 236: 3, 10: 11, 233: 2, 2: 236, 0: 0, 11: 237, 242: 232, 3: 10}|( )|14
65|{232: 237, 237: 10, 236: 242, 10: 2, 233: 232, 2: 11, 0: 233, 11: 0, 242: 236, 3: 3}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -181 & a >= 0 } )|727
66|{232: 11, 237: 233, 236: 10, 10: 0, 233: 2, 2: 236, 0: 232, 11: 242, 242: 237, 3: 3}|( { t = 0 & -a + b > -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|738
67|{232: 3, 237: 242, 236: 232, 10: 237, 233: 0, 2: 2, 0: 11, 11: 233, 242: 236, 3: 10}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|8
68|{232: 2, 237: 10, 236: 233, 10: 236, 233: 3, 2: 237, 0: 232, 11: 242, 242: 0, 3: 11}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -177 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|515
69|{232: 232, 237: 233, 236: 242, 10: 3, 233: 236, 2: 11, 0: 237, 11: 2, 242: 0, 3: 10}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|247
70|{232: 0, 237: 236, 236: 237, 10: 3, 233: 10, 2: 233, 0: 11, 11: 2, 242: 232, 3: 242}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } )|494
71|{232: 3, 237: 242, 236: 232, 10: 233, 233: 2, 2: 11, 0: 0, 11: 10, 242: 237, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|752
72|{232: 3, 237: 11, 236: 2, 10: 242, 233: 233, 2: 232, 0: 0, 11: 236, 242: 237, 3: 10}|( )|12
73|{232: 0, 237: 3, 236: 242, 10: 236, 233: 237, 2: 232, 0: 10, 11: 11, 242: 2, 3: 233}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } )|236
74|{232: 242, 237: 236, 236: 0, 10: 232, 233: 10, 2: 2, 0: 233, 11: 3, 242: 11, 3: 237}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & a - b = 1 & a >= 1 } )|15
75|{232: 237, 237: 3, 236: 10, 10: 233, 233: 242, 2: 232, 0: 2, 11: 11, 242: 0, 3: 236}|( { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|255
76|{232: 2, 237: 10, 236: 11, 10: 236, 233: 0, 2: 233, 0: 242, 11: 232, 242: 3, 3: 237}|( { t = 0 & -a + b >= -179 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -65 & a >= 0 } )|265
77|{232: 237, 237: 11, 236: 232, 10: 10, 233: 236, 2: 3, 0: 0, 11: 2, 242: 233, 3: 242}|( )|14
78|{232: 0, 237: 2, 236: 10, 10: 237, 233: 3, 2: 242, 0: 233, 11: 236, 242: 11, 3: 232}|( { t = 0 & -a + b > -1 & b >= 0 & a - b > -69 & a >= 0 } )|840
79|{232: 242, 237: 233, 236: 11, 10: 237, 233: 3, 2: 232, 0: 0, 11: 10, 242: 2, 3: 236}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } )|23
80|{232: 0, 237: 10, 236: 233, 10: 237, 233: 232, 2: 11, 0: 236, 11: 2, 242: 242, 3: 3}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 & a - b > -65 } { t = 0 & -a + b > -63 & b >= 0 & a - b >= 1 } )|248
81|{232: 10, 237: 237, 236: 232, 10: 0, 233: 233, 2: 236, 0: 3, 11: 242, 242: 11, 3: 2}|( { t = 0 & -a + b > -71 & b >= 0 & a - b >= 1 } )|947
