permutation|permutationMap|result|denot total iterations
49|{3: 3, 237: 236, 236: 242, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 2, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|250
50|{3: 237, 237: 236, 236: 242, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|250
51|{3: 236, 237: 237, 236: 242, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
52|{3: 237, 237: 2, 236: 242, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|485
53|{3: 2, 237: 237, 236: 242, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
54|{3: 236, 237: 2, 236: 242, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|249
55|{3: 2, 237: 236, 236: 242, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|250
56|{3: 237, 237: 3, 236: 242, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
57|{3: 3, 237: 237, 236: 242, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
58|{3: 237, 237: 2, 236: 242, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } )|247
59|{3: 2, 237: 237, 236: 242, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|243
60|{3: 3, 237: 2, 236: 242, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|253
61|{3: 2, 237: 3, 236: 242, 232: 232, 10: 10, 242: 237, 11: 11, 0: 0, 2: 236, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -65 & a >= 0 } )|253
62|{3: 236, 237: 3, 236: 242, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b > -61 & a >= 0 } )|486
63|{3: 3, 237: 236, 236: 242, 232: 232, 10: 10, 242: 2, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|245
64|{3: 236, 237: 2, 236: 242, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|241
65|{3: 2, 237: 236, 236: 242, 232: 232, 10: 10, 242: 3, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a - b >= -177 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|245
66|{3: 3, 237: 2, 236: 242, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|243
67|{3: 2, 237: 3, 236: 242, 232: 232, 10: 10, 242: 236, 11: 11, 0: 0, 2: 237, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } { t = 0 & -a + b > -1 & b >= 0 & a - b >= -61 & a >= 0 } )|488
68|{3: 242, 237: 237, 236: 2, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 3, 233: 233}|( ),10
69|{3: 237, 237: 242, 236: 2, 232: 232, 10: 10, 242: 11, 11: 236, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b > -1 & b >= 0 & a >= 0 } { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|492
70|{3: 242, 237: 11, 236: 2, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 3, 233: 233}|( ),10
71|{3: 11, 237: 242, 236: 2, 232: 232, 10: 10, 242: 237, 11: 236, 0: 0, 2: 3, 233: 233}|( { t = 0 & -a + b >= -63 & b >= 0 & a - b >= 1 } )|241
